"sensor_code","utc_date","utc_time","latitude","longitude","height","hdop","vdop","fix","acquisition_time"
"CJ11","2019-01-30","00:02:05",26.0728861111111,-80.2789611111111,-2,1.1,1.5,"3D","2019-01-30 00:02:05"
"CJ11","2019-01-30","01:02:03",26.07435,-80.2781694444444,8,1.9,3.3,"3D","2019-01-30 01:02:03"
"CJ11","2019-01-30","02:02:04",26.0718111111111,-80.2785416666667,-1,1.2,2.3,"3D","2019-01-30 02:02:04"
"CJ11","2019-01-30","03:02:04",26.0719388888889,-80.2783527777778,-4,1.2,1.7,"3D","2019-01-30 03:02:04"
"CJ11","2019-01-30","04:02:07",26.0716638888889,-80.2787611111111,6,1.7,3.1,"3D","2019-01-30 04:02:07"
"CJ11","2019-01-30","05:02:20",26.0694305555556,-80.2783194444444,-5,2,2.7,"3D","2019-01-30 05:02:20"
"CJ11","2019-01-30","06:02:30",NA,NA,NA,0,0,"NO","2019-01-30 06:02:30"
"CJ11","2019-01-30","07:02:30",NA,NA,NA,0,0,"NO","2019-01-30 07:02:30"
"CJ11","2019-01-30","08:02:30",NA,NA,NA,0,0,"NO","2019-01-30 08:02:30"
"CJ11","2019-01-30","17:02:30",26.0702972222222,-80.2785916666667,9,4.8,8.1,"3D","2019-01-30 17:02:30"
"CJ11","2019-01-30","18:02:16",26.0704888888889,-80.2785888888889,4,1.8,3.1,"3D","2019-01-30 18:02:16"
"CJ11","2019-01-30","19:02:14",26.0703194444444,-80.2783638888889,79,4.7,4,"3D","2019-01-30 19:02:14"
"CJ11","2019-01-30","20:02:30",NA,NA,NA,0,0,"NO","2019-01-30 20:02:30"
"CJ11","2019-01-30","21:02:30",NA,NA,NA,0,0,"NO","2019-01-30 21:02:30"
"CJ11","2019-01-30","22:02:30",26.0712361111111,-80.2796305555556,16,1.4,3.7,"3D","2019-01-30 22:02:30"
"CJ11","2019-01-30","23:02:30",NA,NA,NA,0,0,"NO","2019-01-30 23:02:30"
"CJ11","2019-01-31","00:02:30",26.0727305555556,-80.2793055555556,2,1.1,1.6,"3D","2019-01-31 00:02:30"
"CJ11","2019-01-31","01:02:04",26.0714055555556,-80.2784805555556,-11,2.4,4.2,"3D","2019-01-31 01:02:04"
"CJ11","2019-01-31","02:02:08",26.0706527777778,-80.2797611111111,41,1.5,4.4,"3D","2019-01-31 02:02:08"
"CJ11","2019-01-31","03:02:02",26.0716027777778,-80.2789138888889,-3,1.6,1.7,"3D","2019-01-31 03:02:02"
"CJ11","2019-01-31","04:02:06",26.0713888888889,-80.2788111111111,NA,1.9,3.6,"3D","2019-01-31 04:02:06"
"CJ11","2019-01-31","05:02:30",26.0707305555556,-80.278625,NA,2.2,5.1,"3D","2019-01-31 05:02:30"
"CJ11","2019-01-31","06:02:09",26.0703611111111,-80.2786194444444,11,1.2,1.6,"3D","2019-01-31 06:02:09"
"CJ11","2019-01-31","07:02:09",26.0703666666667,-80.2786861111111,-21,1.4,2.5,"3D","2019-01-31 07:02:09"
"CJ11","2019-01-31","08:02:08",26.0703555555556,-80.2785388888889,3,1.7,1.8,"3D","2019-01-31 08:02:08"
"CJ11","2019-01-31","17:02:30",26.0704055555556,-80.2786361111111,10,3,3.2,"2D","2019-01-31 17:02:30"
"CJ11","2019-01-31","18:02:12",26.0704194444444,-80.2787805555556,10,4.6,3.2,"2D","2019-01-31 18:02:12"
"CJ11","2019-01-31","19:02:30",NA,NA,NA,0,0,"NO","2019-01-31 19:02:30"
"CJ11","2019-01-31","20:02:30",26.0703138888889,-80.2800138888889,10,3.1,3.2,"2D","2019-01-31 20:02:30"
"CJ11","2019-01-31","21:02:30",26.0703027777778,-80.2799833333333,13,1.4,4.5,"3D","2019-01-31 21:02:30"
"CJ11","2019-01-31","22:02:05",26.0703138888889,-80.2799222222222,14,1.4,2.1,"3D","2019-01-31 22:02:05"
"CJ11","2019-01-31","23:02:30",NA,NA,NA,0,0,"NO","2019-01-31 23:02:30"
"CJ11","2019-02-01","00:02:30",NA,NA,NA,0,0,"NO","2019-02-01 00:02:30"
"CJ11","2019-02-01","01:02:30",26.0719333333333,-80.2783055555556,-5,5.6,5.3,"3D","2019-02-01 01:02:30"
"CJ11","2019-02-01","02:02:04",26.0717888888889,-80.2785166666667,NA,1.7,3.3,"3D","2019-02-01 02:02:04"
"CJ11","2019-02-01","03:02:07",26.0703305555556,-80.27995,20,2,3.8,"3D","2019-02-01 03:02:07"
"CJ11","2019-02-01","04:02:11",26.0703194444444,-80.2799916666667,NA,1,1.9,"3D","2019-02-01 04:02:11"
"CJ11","2019-02-01","05:02:05",26.0714833333333,-80.2787388888889,-1,1.1,1.5,"3D","2019-02-01 05:02:05"
"CJ11","2019-02-01","06:02:09",26.0714611111111,-80.2785972222222,12,1.4,2.3,"3D","2019-02-01 06:02:09"
"CJ11","2019-02-01","07:02:30",NA,NA,NA,0,0,"NO","2019-02-01 07:02:30"
"CJ11","2019-02-01","08:02:30",26.0700194444444,-80.2782611111111,NA,1.8,1.8,"3D","2019-02-01 08:02:30"
"CJ11","2019-02-01","18:02:30",NA,NA,NA,0,0,"NO","2019-02-01 18:02:30"
"CJ11","2019-02-01","19:02:30",26.0729916666667,-80.2740666666667,854,3.8,3.2,"2D","2019-02-01 19:02:30"
"CJ11","2019-02-01","20:02:30",26.0713555555556,-80.2766472222222,5,3.3,2.7,"3D","2019-02-01 20:02:30"
"CJ11","2019-02-01","21:02:11",26.0704916666667,-80.2765555555556,10,0.9,1.4,"3D","2019-02-01 21:02:11"
"CJ11","2019-02-01","22:02:02",26.0705444444444,-80.2766027777778,-11,1.1,2.7,"3D","2019-02-01 22:02:02"
"CJ11","2019-02-01","23:02:30",26.0736138888889,-80.2779972222222,3,1.7,2.2,"3D","2019-02-01 23:02:30"
"CJ13","2019-01-19","00:02:30",NA,NA,NA,0,0,"NO","2019-01-19 00:02:30"
"CJ13","2019-01-19","01:02:30",26.0709583333333,-80.2793277777778,7,7,3.2,"2D","2019-01-19 01:02:30"
"CJ13","2019-01-19","02:02:22",26.0702527777778,-80.2793222222222,7,3.9,3.2,"2D","2019-01-19 02:02:22"
"CJ13","2019-01-19","03:02:13",26.0707138888889,-80.2793611111111,1,4.7,3.2,"2D","2019-01-19 03:02:13"
"CJ13","2019-01-19","04:02:30",26.0709722222222,-80.2792388888889,23,4.5,3.2,"2D","2019-01-19 04:02:30"
"CJ13","2019-01-19","05:02:09",26.0707222222222,-80.2794222222222,22,2.3,3.1,"3D","2019-01-19 05:02:09"
"CJ13","2019-01-19","06:02:30",26.0705361111111,-80.2791861111111,22,8.1,3.2,"2D","2019-01-19 06:02:30"
"CJ13","2019-01-19","07:02:30",26.0715277777778,-80.2787388888889,NA,1.9,3.4,"3D","2019-01-19 07:02:30"
"CJ13","2019-01-19","08:02:05",26.0708,-80.2783,NA,1.6,2.3,"3D","2019-01-19 08:02:05"
"CJ13","2019-01-19","17:02:30",26.0719138888889,-80.2794861111111,7,8.3,3.2,"2D","2019-01-19 17:02:30"
