"gps_data_id","sensor_code","utc_date","utc_time","line_no","tff","latitude","longitude","height","maxsnr","hdop","vdop","sat","fix","v1","v2","t1","t2","h1","h2","s1","s2","s3","s4","insert_timestamp","acquisition_time"
18208,"CJ11","2019-01-20","20:02:06",266,66,"26.0770583333333","-80.2753277777778","870",32,"4.4","3.2",3,"2D","3.47V",NULL,"19.88",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 15:02:06-05"
18209,"CJ11","2019-01-20","21:02:30",267,90,"26.0695138888889","-80.2795861111111","5",33,"2.5","3.2",6,"3D","3.47V",NULL,"23.01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 16:02:30-05"
18210,"CJ11","2019-01-20","22:02:16",268,76,"26.0695916666667","-80.2796472222222","5",36,"2.9","3.6",6,"3D","3.43V",NULL,"25.75",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 17:02:16-05"
18211,"CJ11","2019-01-20","23:02:30",269,90,"26.0705444444444","-80.2807444444445","9",31,"9.9","3.2",3,"2D","3.43V",NULL,"23.99",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 18:02:30-05"
18212,"CJ11","2019-01-21","00:02:30",270,90,"26.0732555555556","-80.2778805555556","1",40,"2.6","2",4,"3D","3.47V",NULL,"18.9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 19:02:30-05"
18213,"CJ11","2019-01-21","01:02:30",271,90,"26.0705222222222","-80.2784472222222","26",42,"7","4.9",4,"3D","3.47V",NULL,"16.03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 20:02:30-05"
18214,"CJ11","2019-01-21","02:02:30",272,90,"0","0","0",43,"0","0",6,"NO","3.43V",NULL,"16.82",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 21:02:30-05"
18215,"CJ11","2019-01-21","03:02:30",273,90,"26.0731777777778","-80.2791333333333","-1",40,"1.2","2.1",7,"3D","3.45V",NULL,"16.56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 22:02:30-05"
18216,"CJ11","2019-01-21","04:02:03",274,63,"26.0736694444444","-80.2794861111111","-4",30,"1.5","2.5",6,"3D","3.49V",NULL,"16.82",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-20 23:02:03-05"
18217,"CJ11","2019-01-21","05:02:04",275,64,"26.0741416666667","-80.2780166666667","6",38,"1.3","1.7",7,"3D","3.43V",NULL,"21.77",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-21 00:02:04-05"
